id,symbol,cryptoName,marketCap
1168,DCR,DECRED,206192270.12405246
3773,FET,FETCH.AI,203711151.7795998
2299,ELF,AELF,203585631.91455257
3911,OCEAN,OCEAN PROTOCOL,201199769.01991746
3822,TFUEL,THETA FUEL,201040339.33569786
3640,LPT,LIVEPEER,197020462.62727937
2577,RVN,RAVENCOIN,196559592.7983794
3783,ANKR,ANKR,189430600.13472152
3987,BDX,BELDEX,186073298.05331802
7548,WEMIX,WEMIX,186055212.7305713
5488,JST,JUST,184345666.32931805
8425,JASMY,JASMYCOIN,184279981.16003516
2682,HOT,HOLO,182243527.9432439
5864,YFI,YEARN.FINANCE,179610107.218892
5728,BAL,BALANCER,178941883.039221
18069,GMT,STEPN,177751824.79233578
12220,OSMO,OSMOSIS,175717732.8766516
1680,ANT,ARAGON,175346673.7097093
7455,AUDIO,AUDIUS,169626640.94826522
1274,WAVES,WAVES,169566660.2598808
10407,BabyDoge,BABY DOGE COIN,169519342.3980641
1455,GLM,GOLEM,166668487.42011482
5034,KSM,KUSAMA,162562148.47781914
10804,FLOKI,FLOKI,161567766.41822776
2099,ICX,ICON,161191913.47443986
23246,TOMI,TOMINET,156443285.01433954
4512,LN,LINK,156440412.19056123
17751,T,THRESHOLD,155123967.27814212
1042,SC,SIACOIN,154978721.67559192
12999,SSV,SSV.NETWORK,152957184.45990053
20314,LUNA,TERRA,151604227.78069955
8719,ILV,ILLUVIUM,148269524.2851523
4279,SXP,SXP,148014778.56463042
21296,ETHW,ETHEREUMPOW,147161301.34539637
1896,ZRX,0X,146347013.45126006
2566,ONT,ONTOLOGY,145003938.50120455
13663,GNS,GAINS NETWORK,143442585.52321726
2777,IOTX,IOTEX,142045647.14252317
9481,PENDLE,PENDLE,141915075.24864823
5370,HIVE,HIVE,139761284.78462863
17799,AXL,AXELAR,139723181.52349398
4679,BAND,BAND PROTOCOL,139378132.12953088
9543,BICO,BICONOMY,138748555.11835787
6758,SUSHI,SUSHISWAP,137841283.385745
9025,TRIBE,TRIBE,136860387.2250065
6836,GLMR,MOONBEAM,133771379.82148711
2405,IOST,IOST,133383443.30268636
2989,EURS,STASIS EURO,133211403.21714856
2300,WAXP,WAX,132263764.1584628
14101,RON,RONIN,131883651.92709424
8677,XYM,SYMBOL,130285263.6094083
3945,ONE,HARMONY,130180842.78864358
2499,CHSB,SWISSBORG,129750797.19962479
13523,MC,MERIT CIRCLE,128646625.11616027
2570,TOMO,TOMOCHAIN,128419734.08353242
5647,KDA,KADENA,127170048.03103344
14783,MAGIC,MAGIC,120118707.74453253
4948,CKB,NERVOS NETWORK,117925126.12800549
7129,USTC,TERRACLASSICUSD,116997926.20770676
3029,FLUX,FLUX,116833204.69985984
5625,LYXe,LUKSO,113429831.15009017
2496,POLY,POLYMATH,113190172.64943299
3801,BORA,BORA,111578568.23397508
109,DGB,DIGIBYTE,110739648.98997954
18934,STG,STARGATE FINANCE,110605132.7898889
8420,DAO,DAO MAKER,110289742.89152077
7958,vUSDC,VENUS USDC,105692721.52538405
6651,USDX,USDX [KAVA],105596707.6685753
5691,SKL,SKALE,105140846.36267915
7878,MOB,MOBILECOIN,103709201.34129497
5617,UMA,UMA,103097763.84146062
1698,ZEN,HORIZEN,102826412.44816555
12387,RBN,RIBBON FINANCE,102799168.59672287
9308,PYR,VULCAN FORGED PYR,102537842.88310793
11877,GAL,GALXE,96495241.40111166
2467,TRAC,ORIGINTRAIL,96352171.34208621
7505,EVER,EVERSCALE,96136497.14296992
5444,CTSI,CARTESI,93783753.41297416
7737,API3,API3,93465450.19723631
23254,CORE,CORE DAO,92698659.37955046
3964,RSR,RESERVE RIGHTS,92594204.27493837
9444,KNC,KYBER NETWORK CRYSTAL V2,92361831.0322325
1772,STORJ,STORJ,91511253.05419257
3814,CELR,CELER NETWORK,91438180.33227248
6958,ACH,ALCHEMY PAY,90739942.72592989
1732,NMR,NUMERAIRE,90662122.35626471
1214,LSK,LISK,90346033.26978336
11396,JOE,JOE,89850364.01029919
3626,RBTC,RSK SMART BITCOIN,87987915.76078299
7288,XVS,VENUS,85215506.87129122
6748,CFG,CENTRIFUGE,85087145.3178219
9040,PUNDIX,PUNDI X (NEW),84531440.21835516
4006,STPT,STP,84465036.51572208
1567,XNO,NANO,83077452.25781608
1759,SNT,STATUS,83050357.35503973
7461,PLA,PLAYDAPP,83037432.3529402
7326,DEXE,DEXE,82760032.03899235
22359,XPLA,XPLA,82094447.83115815
10903,C98,COIN98,81400641.75765218
7429,LQTY,LIQUITY,81395529.54377331
5266,MLK,MIL.K,80909397.24388109
1788,MTL,METAL DAO,79594327.99359779
14519,VVS,VVS FINANCE,79250298.6273238
1637,RLC,IEXEC RLC,79161933.36280118
22461,HFT,HASHFLOW,78832754.50657542
10442,DESO,DECENTRALIZED SOCIAL,78028536.51496387
5566,KEEP,KEEP NETWORK,77878087.79590397
9436,ELON,DOGELON MARS,77733813.81037176
6945,AMP,AMP,77639545.44313473
20362,POLYX,POLYMESH,77246697.03232884
21106,RDNT,RADIANT CAPITAL,77115445.43660958
12400,DEL,DECIMAL,76977334.76162638
5113,SURE,INSURE DEFI,75736523.88083442
3217,ONG,ONTOLOGY GAS,75153215.039604
2394,TEL,TELCOIN,74496402.43793678
5190,FLEX,FLEX,74465079.59875748
5455,TREX,TREXCOIN,74453225.8788839
4120,PROM,PROM,74357593.2057286
5908,DKA,DKARGO,73536802.18990469
11079,BRISE,BITGERT,73439345.50559247
3701,RIF,RSK INFRASTRUCTURE FRAMEWORK,72724431.22500059
2982,MVL,MVL,72268898.1182445
6950,PERP,PERPETUAL PROTOCOL,71890223.71565256
5939,WNXM,WRAPPED NXM,71544190.96989459
1230,STEEM,STEEM,69942726.58615623
1816,CVC,CIVIC,69918628.97693416
6843,RAD,RADICLE,69874281.04755585
5268,EWT,ENERGY WEB TOKEN,69554237.78019288
2132,POWR,POWERLEDGER,69133868.62778492
2780,NKN,NKN,69091239.54857598
2454,UIP,UNLIMITEDIP,68738243.92739697
7497,POND,MARLIN,68400284.45314303
2071,REQ,REQUEST,66694089.14433215
2930,IQ,IQ,66135314.410260975
7232,ALPHA,ALPHA VENTURE DAO,65917044.01733653
3835,ORBS,ORBS,65825412.551830925
3437,ABBC,ABBC COIN,65477222.817720816
10052,GTC,GITCOIN,65438161.57717729
541,SYS,SYSCOIN,64668490.18342884
1808,OMG,OMG NETWORK,64033587.593511365
3978,CHR,CHROMIA,64014821.60582363
10223,VEGA,VEGA PROTOCOL,63176281.992387794
1727,BNT,BANCOR,63080155.38601621
17591,NYM,NYM,62489845.558503754
2303,MED,MEDIBLOC,62404928.180547796
4979,PEG,PEGNET,62209990.30693719
1886,DENT,DENT,62179184.4367209
1343,STRAX,STRATIS,62023721.513894364
3012,VTHO,VETHOR TOKEN,61980313.30865522
22265,OAS,OASYS,61652583.32968357
5824,SLP,SMOOTH LOVE POTION,61631525.43031333
3950,NTR,NETRUM,61379699.312428996
7672,UNFI,UNIFI PROTOCOL DAO,61051555.01720208
1320,ARDR,ARDOR,60892730.32658898
10688,YGG,YIELD GUILD GAMES,60827660.87223771
8335,MDX,MDEX,60101962.69580369
5026,OXT,ORCHID,59953682.86381321
1762,ERG,ERGO,59848345.50744454
4206,WIN,WINKLINK,59726819.801470175
7959,vBUSD,VENUS BUSD,59585850.747331515
7102,LINA,LINEAR FINANCE,59473257.36780619
1586,ARK,ARK,58239649.61235295
2896,MFT,HIFI FINANCE (OLD),58182870.72918986
9674,WILD,WILDER WORLD,58148270.09817953
4134,AKRO,AKROPOLIS,57622264.845256
16876,ALI,ARTIFICIAL LIQUID INTELLIGENCE,57364376.475325726
7824,VAI,VAI,57194484.650955714
20886,ASTRAFER,ASTRAFER,57040424.46968533
16946,MCT,METACRAFT,57036119.839751475
6841,PHA,PHALA NETWORK,56922530.078316756
11232,HIGH,HIGHSTREET,56406949.08153535
4039,ARPA,ARPA,56110543.802120015
20672,COL,CLASH OF LILLIPUT,56027805.121429734
693,XVG,VERGE,55847473.87174825
7817,BFC,BIFROST,55698755.85473479
5604,SCRT,SECRET,55470291.473087855
2505,BLZ,BLUZELLE,54379969.92681912
8100,ankrETH,ANKR STAKED ETH,54332217.36950389
11307,BETA,BETA FINANCE,54063362.15343047
3884,FX,FUNCTION X,53122689.41000178
20641,EUROC,EURO COIN,53028381.096175075
5866,DEXT,DEXTOOLS,52611111.30625239
17081,LOOKS,LOOKSRARE,52009012.47311221
9175,MBOX,MOBOX,51655055.48929313
7242,CORE,CVAULT.FINANCE,51379398.35803873
9640,METIS,METISDAO,50836718.851239376
3992,COTI,COTI,50800634.425208434
21351,SWEAT,SWEAT ECONOMY,50520845.401805155
10529,SUN,SUN (NEW),50327196.645660944
19076,WVLX,WRAPPED VELAS,50222034.17056576
9868,XCAD,XCAD NETWORK,50194989.6954949
21178,MRS,METARS GENESIS,50128890.45949234
3600,HUM,HUMANSCAPE,49629938.06532602
23037,HIFI,HIFI FINANCE,49290673.70261756
2763,MNW,MORPHEUS.NETWORK,49214047.215429395
4807,CTK,SHENTU,49089072.361147895
14806,PEOPLE,CONSTITUTIONDAO,48807206.65661633
7224,DODO,DODO,48721643.39288831
1866,BTM,BYTOM,48449934.5717603
2297,STMX,STORMX,48420460.437193386
2840,QKC,QUARKCHAIN,48296257.27839031
8985,EFI,EFINITY TOKEN,48147190.82767073
12147,SYN,SYNAPSE,48087346.35750605
4189,UOS,ULTRA,48001254.977638975
13769,WMT,WORLD MOBILE TOKEN,47589304.67396189
2588,LOOM,LOOM NETWORK,47445995.30089176
12089,CWEB,COINWEB,47410664.63235984
7411,CQT,COVALENT,47008857.84985732
4092,DUSK,DUSK NETWORK,46942276.3653468
3316,AOG,SMARTOFGIVING,46612322.37441439
11584,BTRST,BRAINTRUST,46490003.88097652
1757,FUN,FUNTOKEN,46484246.48570142
2539,REN,REN,46198801.69577766
9421,FORTH,AMPLEFORTH GOVERNANCE TOKEN,45324683.28645854
18031,CCD,CONCORDIUM,44695746.1403748
4038,MBL,MOVIEBLOC,44402073.78492595
3855,LOCUS,LOCUS CHAIN,44201158.27556976
11289,SPELL,SPELL TOKEN,44130321.13351113
5117,OGN,ORIGIN PROTOCOL,44033839.03861116
18895,MBX,MARBLEX,43724353.678727575
20789,TSUKA,DEJITARU TSUKA,43652156.24592246
6731,TON,TOKAMAK NETWORK,43639590.58008033
22764,HOOK,HOOKED PROTOCOL,43632808.43658114
6928,BEL,BELLA PROTOCOL,42880885.520611644
7046,GHST,AAVEGOTCHI,42824637.009920344
3816,VRA,VERASITY,42588771.56160857
7236,CUSD,CELO DOLLAR,42016543.746285565
268,XWC,WHITECOIN,41812421.57904623
2765,XYO,XYO,41574929.2810238
20622,FORT,FORTA,41199540.06907291
7150,FLM,FLAMINGO,41184451.28734162
8107,CBK,COBAK TOKEN,41135259.66392464
10631,GODS,GODS UNCHAINED,40823289.803417414
4944,TRB,TELLOR,40386816.28810154
8766,ALICE,MYNEIGHBORALICE,40353008.91925595
3637,AERGO,AERGO,40321704.70816299
5198,CTC,CREDITCOIN,40301375.937909186
7859,BADGER,BADGER DAO,40221247.62469908
4090,WXT,WIREX TOKEN,40130587.06900574
8526,RAY,RAYDIUM,39858099.13298302
17917,RSS3,RSS3,39795535.281953625
8489,XSGD,XSGD,39632898.19967237
7692,EXRD,E-RADIX,39455428.50995298
5612,SSX,SOMESING,39305836.426768914
258,GRS,GROESTLCOIN,39232417.664600976
5072,RKN,RAKON,38513246.10367006
9119,TLM,ALIEN WORLDS,38277745.62249845
5161,WRX,WAZIRX,38224435.16825561
5279,SOLO,SOLOGENIC,38208570.23417409
18860,ZBC,ZEBEC PROTOCOL,38064363.35293852
21929,KWENTA,KWENTA,37905587.38493078
2927,SUSD,SUSD,37871287.00005347
2606,WAN,WANCHAIN,37869834.70758258
3930,TT,THUNDERCORE,37708439.31121374
9020,TKO,TOKO TOKEN,37660737.206788026
8911,STRK,STRIKE,37651756.58977471
11568,AGLD,ADVENTURE GOLD,37643023.10942201
15924,NVIR,NVIRWORLD,37355360.66572455
4275,COCOS,COCOS-BCX,37306490.37918086
21532,AURA,AURA FINANCE,37241435.85768189
5956,MCB,MUX PROTOCOL,37152237.93294044
6756,ACA,ACALA TOKEN,36728372.55763043
5326,ORC,ORBIT CHAIN,36561700.69993403
21928,VTS,VERITISE,36453466.84448655
2665,DERO,DERO,36357026.42337288
2868,DAG,CONSTELLATION,36281277.709810615
3951,ARRR,PIRATE CHAIN,35855350.84534031
22074,ALEX,ALEX LAB,35822243.21520811
20873,LEVER,LEVERFI,35709556.602995194
1817,VGX,VOYAGER TOKEN,35705049.60164408
3418,META,METADIUM,35511010.583413586
3946,CRE,CARRY,35387417.4668456
7055,DPI,DEFI PULSE INDEX,35294408.04991943
8075,RLY,RALLY,35206539.25630989
2137,ETN,ELECTRONEUM,35162961.13488791
6216,AXEL,AXEL,34841884.7837122
8936,TRIAS,TRIAS TOKEN (NEW),34724575.77721541
8642,FEI,FEI USD,34462636.233428895
6951,REEF,REEF,34330820.450220294
1552,MLN,ENZYME,34203714.23654477
9720,LAT,PLATON,34124964.95310766
11374,DAR,MINES OF DALARNIA,34082617.55711764
7725,TRU,TRUEFI,33972381.207475565
5919,MTRG,METER GOVERNANCE,33911993.208572015
8290,SUPER,SUPERVERSE,33745936.359204486
9285,MOVR,MOONRIVER,33524529.015990544
9638,SDAO,SINGULARITYDAO,33190970.953260932
2700,CEL,CELSIUS,33082731.874556098
12749,NAKA,NAKAMOTO GAMES,33076536.914959863
2856,CEEK,CEEK VR,32791724.970493726
10188,ATA,AUTOMATA NETWORK,32773560.058927596
7957,vUSDT,VENUS USDT,32716889.525727645
11346,RACA,RACA,32589488.810140703
3928,IDEX,IDEX,32578079.895480275
1710,VERI,VERITASEUM,32574970.936959315
4953,FCT,FIRMACHAIN,32456477.090915564
2348,MDT,MEASURABLE DATA TOKEN,32394642.250700355
3666,ULT,ULTILEDGER,32275344.880672764
9386,KISHU,KISHU INU,32139646.133410588
2492,ELA,ELASTOS,31950102.53757098
8972,SFUND,SEEDIFY.FUND,31726273.113430403
9286,LEASH,DOGE KILLER,31610707.550817672
23355,0,0X0.AI: AI SMART CONTRACT,31610261.380003758
5049,VRSC,VERUSCOIN,31415097.753370002
2273,UQC,UQUID COIN,31108223.963759728
22031,AGLA,ANGOLA,31103500.197695024
3673,ASD,ASD,30905733.47218377
8602,AUCTION,BOUNCE GOVERNANCE TOKEN,30887133.307896122
5618,DAWN,DAWN PROTOCOL,30789999.5591497
15447,LYRA,LYRA,30586871.433516387
5380,HUNT,HUNT,30486635.63752057
7064,BAKE,BAKERYTOKEN,30421585.162823394
10746,BSW,BISWAP,30397653.261827767
10750,QRDO,QREDO,30321672.309032474
3795,ZEON,ZEON,30261963.912723634
4950,LCX,LCX,30176303.884057708
11294,RARE,SUPERRARE,30032744.35970985
7281,XPRT,PERSISTENCE,29945867.26638512
9071,CHNG,CHAINGE,29860225.494504582
21997,WAIT,HOURGLASS,29802750.766963672
1521,KMD,KOMODO,29512956.574146833
22320,HELLO,HELLO,29508459.349724993
3874,IRIS,IRISNET,29412212.08307447
20513,SAITAMA,SAITAMA,29012717.228867527
6727,RSV,RESERVE,28828629.345304627
8615,ERN,ETHERNITY,28559958.0894793
8296,KSP,KLAYSWAP PROTOCOL,27768144.43797966
3089,AVINOC,AVINOC,27749860.901660156
2320,UTK,UTRUST,27676994.07955247
463,BTS,BITSHARES,27468420.49653937
4064,USDK,USDK,27259144.513534192
5947,TPT,TOKENPOCKET,27001849.290524818
2866,UPP,SENTINEL PROTOCOL,26901965.14372021
19966,QUICK,QUICKSWAP[NEW],26874780.215185843
2915,MOC,MOSS COIN,26833148.75221493
10630,GOG,GUILD OF GUARDIANS,26780856.039994594
213,MONA,MONACOIN,26761131.047017407
2638,CTXC,CORTEX,26685862.738530606
7463,RAMP,RAMP,26361335.749395214
1974,PRO,PROPY,26070960.74472144
8292,ROUTE,ROUTER PROTOCOL,25922538.537437856
6138,DIA,DIA,25920064.86870269
1993,KIN,KIN,25872377.543203216
10180,GMT,GMT TOKEN,25797924.014553096
7208,POLS,POLKASTARTER,25740348.85473566
13969,PHB,PHOENIX,25605289.908175044
1312,SBD,STEEM DOLLARS,25565614.758126073
2398,KEY,SELFKEY,25440320.519196514
3095,NBC,NIOBIUM COIN,25433311.14235052
6833,LIT,LITENTRY,25428418.552403573
19819,REI,REI NETWORK,25391058.484525356
5225,BAR,FC BARCELONA FAN TOKEN,25324182.78684125
7311,BIFI,BEEFY FINANCE,25305369.447019633
11206,BLOK,BLOKTOPIA,25222433.224437002
6641,AHT,AHATOKEN,24813848.523745183
7229,GEL,GELATO,24766410.25669423
2553,RFR,REFEREUM,24589694.666577727
2776,AVA,TRAVALA.COM,24495252.13192712
1856,DNT,DISTRICT0X,24324976.268096052
8384,CLV,CLV,24281478.65989415
9637,ALU,ALTURA,24202894.91621193
8037,TVK,VIRTUA,23843571.0206392
